LLM,Metric,Description,Kappa_wq,Kappa_Interp,N,Spearman_Default,Spearman_1Step,Better_Config,Mean_Default,Mean_1Step,Mean_Diff
GPT-OSS-120b,M2.2,Trajectory Efficiency,0.8589,Almost Perfect,60,0.8276,0.7593,default,0.4183,0.4217,0.0033
GPT-OSS-120b,M2.3,Global Strategy Consistency,0.5181,Moderate,15,0.5392,0.6627,1_step,0.4707,0.65,0.1793
GPT-OSS-120b,M2.4,Stepwise Reasoning Quality,0.5894,Moderate,60,0.5417,0.57,1_step,0.7402,0.7509,0.0107
GPT-OSS-120b,M2.5,Role Adherence,0.1089,Slight,60,0.3363,0.2638,default,0.9462,0.9375,-0.0087
GPT-OSS-120b,M3.1,Tool Selection Quality,0.3095,Fair,60,0.2684,0.1773,default,0.6961,0.7765,0.0804
GPT-OSS-120b,M3.2,Tool Execution Success,0.5475,Moderate,60,0.4462,0.6268,1_step,0.8942,0.8672,-0.027
GPT-OSS-120b,M4.1,Context Utilization,0.8276,Almost Perfect,60,0.52,0.5334,1_step,0.9076,0.9055,-0.0021
GPT-OSS-120b,M5.1,Communication Efficiency (MAS),0.6018,Substantial,15,0.5508,0.6854,1_step,0.67,0.6507,-0.0193
Qwen3-235b,M2.2,Trajectory Efficiency,0.9427,Almost Perfect,60,0.7851,0.7873,1_step,0.6708,0.6683,-0.0025
Qwen3-235b,M2.3,Global Strategy Consistency,0.962,Almost Perfect,15,0.3344,0.4472,1_step,0.7933,0.8,0.0067
Qwen3-235b,M2.4,Stepwise Reasoning Quality,0.9224,Almost Perfect,60,0.6604,0.6558,default,0.7403,0.7381,-0.0022
Qwen3-235b,M2.5,Role Adherence,0.8598,Almost Perfect,60,0.327,0.346,1_step,0.93,0.925,-0.005
Qwen3-235b,M3.1,Tool Selection Quality,0.4203,Moderate,60,0.1982,0.1777,default,0.5658,0.5824,0.0166
Qwen3-235b,M3.2,Tool Execution Success,0.5494,Moderate,60,0.2242,0.5858,1_step,0.8565,0.8219,-0.0346
Qwen3-235b,M4.1,Context Utilization,0.8154,Almost Perfect,60,0.4785,0.4764,default,0.9407,0.9371,-0.0036
Qwen3-235b,M5.1,Communication Efficiency (MAS),0.9282,Almost Perfect,15,0.5396,0.6288,1_step,0.7167,0.71,-0.0067
GPT-4o-mini-8b,M2.2,Trajectory Efficiency,0.8822,Almost Perfect,60,0.3306,0.376,1_step,0.6525,0.6583,0.0058
GPT-4o-mini-8b,M2.3,Global Strategy Consistency,1.0,Almost Perfect,15,0.4585,0.4585,tie,0.9333,0.9333,0.0
GPT-4o-mini-8b,M2.4,Stepwise Reasoning Quality,0.9254,Almost Perfect,60,0.4448,0.4985,1_step,0.7589,0.7593,0.0004
GPT-4o-mini-8b,M2.5,Role Adherence,0.8258,Almost Perfect,60,0.1069,0.0201,default,0.8267,0.8267,-0.0
GPT-4o-mini-8b,M3.1,Tool Selection Quality,0.4726,Moderate,60,-0.1792,-0.2179,default,0.6063,0.6185,0.0122
GPT-4o-mini-8b,M3.2,Tool Execution Success,0.4097,Moderate,60,0.342,0.573,1_step,0.9077,0.869,-0.0387
GPT-4o-mini-8b,M4.1,Context Utilization,0.5455,Moderate,60,0.5546,0.5119,default,0.9435,0.942,-0.0015
GPT-4o-mini-8b,M5.1,Communication Efficiency (MAS),0.7059,Substantial,15,0.4003,0.0516,default,0.8733,0.86,-0.0133
