task_id,agent_name,M1.1_Success_Bool,M2.2_Trajectory_Efficiency_1to5,M2.3_Global_Strategy_1to5,M2.4_Reasoning_Quality_1to5,M2.5_Role_Adherence_1to5,M3.1_Tool_Selection_1to5,M3.2_Tool_Execution_Quality_1to5,M4.1_Context_Utilization_1to5,M5.1_Communication_1to5_IfMAS,Comments
scikit-learn__scikit-learn-12585,OpenHands,0,4,5,4,5,4,3,5,,"Direct navigation to bug. Struggle with diff generation. One tool syntax error."
scikit-learn__scikit-learn-12585,SWE-agent,1,4,4,5,5,4,4,5,,"Direct navigation to relevant file. Clean fix implementation. One initial tool syntax error (view_range on directory). Excellent reasoning with edge case consideration."
scikit-learn__scikit-learn-12585,MetaGPT,0,1,2,2,2,2,1,2,2,"134 steps, $8 cost for simple one-line fix. Constant edit tool failures due to linting issues. Agent asked human for help (Step 64, 75, 79, 85) despite autonomous requirement. Rewrote entire base.py instead of minimal fix. Path handling issues with spaces. Multi-agent overhead with little benefit."
scikit-learn__scikit-learn-12585,live-swe-agent,1,4,5,5,5,4,3,5,,"Clean execution with clear plan. Minor bash syntax errors (heredoc chaining, regex escaping). Recovered quickly from failed patch attempts. Excellent reasoning and verification workflow. Minimal fix identical to expected solution."
pallets__flask-5014,OpenHands,0,2,3,3,5,3,3,4,,"Correct fix implemented (empty name check). Inefficient dependency management (4 individual pip installs instead of requirements.txt). Major struggle with diff generation (~35 steps with git embedded repo issues and multiple Python syntax errors in heredocs). Final diff in non-standard patch format."
pallets__flask-5014,SWE-agent,1,4,4,5,5,4,4,5,,"Efficient execution in 33 steps ($0.03). Direct navigation to Blueprint class. Clean fix with good edge case handling (added check in both __init__ and register() method). One initial view_range error and some grep syntax errors. Verified fix with inline Python test."
pallets__flask-5014,MetaGPT,0,2,3,2,4,2,2,3,3,"41 steps, $1.96 cost (66x more than SWE-agent). Two edit failures due to linting. Rewrote entire blueprints.py instead of minimal fix. diff.txt contains contaminated content (shows scikit-learn estimator code). No verification of fix. Git workflow issues with .gitignore. Multi-agent overhead with minimal benefit."
pallets__flask-5014,live-swe-agent,1,1,2,3,5,3,2,2,,"181 steps, $0.30 cost for simple fix. Excellent initial implementation with isinstance() and strip() check for whitespace. Major distraction: spent ~140 steps trying to fix pre-existing cookie domain test failures unrelated to Blueprint task. Multiple format errors and bash syntax issues (applypatch not found, && chaining). Eventually succeeded after reverting unrelated changes."
psf__requests-2317,OpenHands,0,2,2,3,5,3,3,3,,"160 steps, $0.18 cost. Correctly identified fix (to_native_string instead of builtin_str). However, spent ~100 steps fixing unrelated Python 3.10+ collections.abc compatibility issues in 6 files. applypatch command failed 8+ times. Included .DS_Store in diff. Original one-line fix buried in extensive compatibility changes."
psf__requests-2317,SWE-agent,1,4,4,5,5,4,4,5,,"Efficient 58 steps, $0.04 cost. Correctly identified fix (to_native_string with isinstance check for bytes/str, fallback to builtin_str). Excellent reasoning and documentation. Verified fix with reproduction script. Also patched build/lib copy for consistency. Minor: left reproduce script in diff, some view_range errors."
psf__requests-2317,MetaGPT,0,2,3,2,4,2,1,2,3,"49 steps, $1.36 cost. Correctly identified fix (to_native_string). Edit tool failed 3 times due to linting. Used sed as fallback. CRITICAL: diff.txt contains contaminated content from MetaGPT's own repo (token_counter.py changes) instead of the requests fix. No verification. Git diff captured wrong repository."
psf__requests-2317,live-swe-agent,0,4,4,4,5,4,3,4,,"55 steps, $0.04 cost. Excellent: recognized need to fix BOTH sessions.py and models.py. Used to_native_string in both files. Good multi-step verification. However, likely missing import of to_native_string in models.py causing NameError. One bash syntax error (&&). PreparedRequest.prepare() test crashed on unrelated hooks issue."
matplotlib__matplotlib-22719,OpenHands,1,2,3,4,5,3,2,3,,"122 steps, $0.15 cost. Correct fix (early return for empty values to avoid deprecation warning). However, spent ~80 steps struggling with import/environment issues (missing compiled extension, path errors, elaborate fake modules needed). applypatch failed. Git safe.directory issues. Eventually verified and created diff.txt."
matplotlib__matplotlib-22719,SWE-agent,1,5,5,5,5,5,4,5,,"Excellent: 29 steps, $0.014 cost. Perfect workflow: explore, repro, fix, verify, document, submit. Direct navigation to category.py, clean fix with early return for empty values. Excellent reasoning and edge case documentation. Cleaned up repro script. One minor view_range error on directory."
matplotlib__matplotlib-22719,MetaGPT,0,2,3,2,4,2,1,2,3,"58 steps, $2.20 cost. 8 failed edit attempts due to linting errors (same pattern). Eventually used Engineer2.write_new_code to rewrite entire category.py instead of minimal fix. No verification. Multi-agent overhead with minimal benefit."
matplotlib__matplotlib-22719,live-swe-agent,1,4,4,5,5,4,3,4,,"30 steps, $0.03 cost. Excellent analysis of why all() on empty returns True. Clean fix with early return. However: one format error, two bash && syntax errors, perl left backslash-1 placeholder (had to fix). Could not runtime-verify due to unrelated DeprecationWarnings. Clean final git diff."
django__django-11099,OpenHands,0,3,3,4,5,3,3,4,,"61 steps, $0.03 cost. Correct fix identified (backslash-A...backslash-Z instead of ^...$). Reproduction script verified fix works. str_replace failed initially (duplicate pattern). Git embedded repo issues prevented normal diff generation. Created diff.txt manually using Python difflib. Couldn't run regression tests (pytest errors)."
django__django-11099,SWE-agent,0,4,4,5,5,4,3,4,,"41 steps, $0.014 cost. Correct fix for both validators (backslash-A...backslash-Z). Created and cleaned up repro script. Good documentation. view_range errors (range larger than file). str_replace failed initially (duplicate pattern), solved with unique context."
django__django-11099,MetaGPT,0,2,2,2,4,2,1,2,3,"43 steps, $5.73 cost (very expensive). CRITICAL: Edit tool failure DELETED entire validators.py file (0 bytes after edit attempt). Had to rewrite entire file with Editor.write. diff.txt shows complete file replacement (not minimal diff). No verification. Multi-agent overhead."
