Pair,Config,Metric,Description,Weighted_Kappa,N,Interpretation,Mean_A,Mean_B
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M2.2,Trajectory Efficiency,0.438,60,Moderate,0.4183,0.6708
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M2.3,Global Strategy Consistency,0.323,15,Fair,0.4707,0.7933
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M2.4,Stepwise Reasoning Quality,0.6905,60,Substantial,0.7402,0.7403
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M2.5,Role Adherence,0.9148,60,Almost Perfect,0.9462,0.93
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M3.1,Tool Selection Quality,0.3371,60,Fair,0.6961,0.5658
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M3.2,Tool Execution Success,0.7654,60,Substantial,0.8942,0.8565
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M4.1,Context Utilization,0.52,60,Moderate,0.9076,0.9407
GPT-OSS-120b vs Qwen3-235b,default (SR=5),M5.1,Communication Efficiency (MAS),0.4181,15,Moderate,0.67,0.7167
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M2.2,Trajectory Efficiency,0.3388,60,Fair,0.4183,0.6525
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M2.3,Global Strategy Consistency,0.1616,15,Slight,0.4707,0.9333
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M2.4,Stepwise Reasoning Quality,0.5766,60,Moderate,0.7402,0.7589
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M2.5,Role Adherence,-0.0209,60,Poor,0.9462,0.8267
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M3.1,Tool Selection Quality,0.0625,60,Slight,0.6961,0.6063
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M3.2,Tool Execution Success,0.6289,60,Substantial,0.8942,0.9077
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M4.1,Context Utilization,0.4068,60,Moderate,0.9076,0.9435
GPT-OSS-120b vs GPT-4o-mini-8b,default (SR=5),M5.1,Communication Efficiency (MAS),0.0292,15,Slight,0.67,0.8733
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M2.2,Trajectory Efficiency,0.4964,60,Moderate,0.6708,0.6525
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M2.3,Global Strategy Consistency,0.6129,15,Substantial,0.7933,0.9333
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M2.4,Stepwise Reasoning Quality,0.75,60,Substantial,0.7403,0.7589
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M2.5,Role Adherence,-0.0053,60,Poor,0.93,0.8267
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M3.1,Tool Selection Quality,0.3976,60,Fair,0.5658,0.6063
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M3.2,Tool Execution Success,0.6831,60,Substantial,0.8565,0.9077
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M4.1,Context Utilization,0.64,60,Substantial,0.9407,0.9435
Qwen3-235b vs GPT-4o-mini-8b,default (SR=5),M5.1,Communication Efficiency (MAS),0.3197,15,Fair,0.7167,0.8733
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M2.2,Trajectory Efficiency,0.3812,60,Fair,0.4217,0.6683
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M2.3,Global Strategy Consistency,0.1857,15,Slight,0.65,0.8
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M2.4,Stepwise Reasoning Quality,0.6073,60,Substantial,0.7509,0.7381
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M2.5,Role Adherence,0.0789,60,Slight,0.9375,0.925
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M3.1,Tool Selection Quality,0.1746,60,Slight,0.7765,0.5824
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M3.2,Tool Execution Success,0.7662,60,Substantial,0.8672,0.8219
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M4.1,Context Utilization,0.5679,60,Moderate,0.9055,0.9371
GPT-OSS-120b vs Qwen3-235b,1_step (SR=1),M5.1,Communication Efficiency (MAS),0.7379,15,Substantial,0.6507,0.71
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M2.2,Trajectory Efficiency,0.3911,60,Fair,0.4217,0.6583
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M2.3,Global Strategy Consistency,0.1517,15,Slight,0.65,0.9333
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M2.4,Stepwise Reasoning Quality,0.4397,60,Moderate,0.7509,0.7593
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M2.5,Role Adherence,-0.0556,60,Poor,0.9375,0.8267
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M3.1,Tool Selection Quality,0.1096,60,Slight,0.7765,0.6185
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M3.2,Tool Execution Success,0.4956,60,Moderate,0.8672,0.869
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M4.1,Context Utilization,0.2029,60,Fair,0.9055,0.942
GPT-OSS-120b vs GPT-4o-mini-8b,1_step (SR=1),M5.1,Communication Efficiency (MAS),0.1111,15,Slight,0.6507,0.86
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M2.2,Trajectory Efficiency,0.5667,60,Moderate,0.6683,0.6583
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M2.3,Global Strategy Consistency,0.6557,15,Substantial,0.8,0.9333
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M2.4,Stepwise Reasoning Quality,0.672,60,Substantial,0.7381,0.7593
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M2.5,Role Adherence,-0.0255,60,Poor,0.925,0.8267
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M3.1,Tool Selection Quality,0.287,60,Fair,0.5824,0.6185
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M3.2,Tool Execution Success,0.6167,60,Substantial,0.8219,0.869
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M4.1,Context Utilization,0.3548,60,Fair,0.9371,0.942
Qwen3-235b vs GPT-4o-mini-8b,1_step (SR=1),M5.1,Communication Efficiency (MAS),0.1611,15,Slight,0.71,0.86
